rainfall_mm,farm_size_hectares,sunlight_hours,fertilizer_kg,crop_yield
574,298,4,948,194
885,222,9,969,172
1733,267,4,336,205
974,539,12,2874,371
917,696,5,2525,439
846,938,5,2808,555
1139,238,10,2977,216
1438,235,5,1005,193
1454,605,11,2523,402
1375,812,9,718,467
1262,444,10,2800,319
1702,891,10,1132,526
1705,767,9,2343,496
1163,411,12,2954,301
524,631,12,1413,361
1703,775,10,946,467
1209,97,12,2965,153
1684,593,6,2023,388
676,902,6,2711,536
784,551,4,733,314
562,693,8,2826,429
1502,318,7,1117,243
1161,915,5,107,503
1165,352,12,1492,252
655,445,6,1168,280
1992,186,11,2491,204
1572,148,9,1880,162
1466,203,8,2943,221
1348,195,4,1742,177
1607,227,7,1316,199
1884,173,6,948,171
1188,170,4,1480,153
647,952,8,161,511
841,534,9,1185,323
975,817,5,2569,490
1586,610,6,1917,398
1883,845,9,732,505
1060,51,7,891,88
826,924,12,2698,554
1664,219,8,1400,200
1489,750,7,2753,479
714,871,5,1554,498
934,284,9,1238,210
1451,963,5,1811,568
1222,288,10,624,208
1841,260,6,2120,230
531,319,12,998,215
1169,729,8,2310,463
784,842,11,886,479
1828,149,9,1460,173
928,801,11,2526,498
2000,555,6,272,362
785,830,6,1099,461
1667,913,8,1910,548
1947,539,6,163,342
1542,66,11,1445,127
517,121,11,1074,107
1268,14,5,165,65
1089,419,7,1966,290
1894,423,4,1722,305
1698,191,7,557,176
1509,22,7,1702,97
693,348,12,2600,264
1001,806,6,2057,475
1487,268,5,1840,216
1636,99,12,1549,143
613,625,12,2059,377
1745,900,4,2325,567
1446,707,9,2054,441
1330,259,11,379,194
1787,264,6,2491,240
1424,597,12,1140,367
554,907,5,2443,533
1299,980,9,2349,595
1277,117,4,1061,128
1981,677,10,2831,466
661,603,6,2042,381
1903,598,10,1317,395
586,494,7,474,287
554,991,12,2011,564
1999,981,8,134,560
1701,267,6,1492,231
1914,648,11,2176,436
1872,912,9,874,537
1531,291,5,320,202
1332,995,6,2200,588
812,97,11,2938,137
1258,213,10,2223,192
942,25,9,593,62
827,160,4,1811,143
1577,945,12,2264,576
1260,263,6,379,181
1762,197,8,845,179
1752,338,10,2911,299
1078,553,10,2442,375
1574,792,6,1574,475
1506,406,7,1957,298
1787,526,10,1641,366
1941,468,11,1196,323
595,339,5,2989,250
1611,829,12,1159,493
1601,854,10,2022,516
1811,178,11,2105,191
1643,702,9,596,431
1313,375,9,2353,291
990,187,12,2573,194
951,664,7,143,372
664,371,8,1951,255
681,769,12,2752,465
968,648,4,553,372
1409,784,7,694,463
1234,49,10,1456,102
1322,933,12,606,525
1443,425,9,893,277
506,364,11,120,217
829,264,12,1499,188
1274,152,7,2767,170
650,761,4,2561,458
1608,749,11,1194,460
646,862,5,1527,481
1904,719,4,1685,467
1414,586,10,1914,381
1808,909,12,1520,544
1199,20,12,436,56
581,629,6,1767,386
1013,35,9,1009,75
1314,966,10,375,547
1208,430,12,991,290
1245,672,5,112,386
1522,230,11,1126,194
1909,862,10,1073,511
1206,505,7,274,313
970,246,5,1508,185
1642,246,11,1725,218
895,228,8,2043,185
760,496,9,2388,323
1304,945,10,646,532
1433,470,4,2161,330
1779,672,11,1318,433
1404,644,7,1520,401
1749,153,12,1554,177
1576,999,4,2872,623
1439,198,5,1533,177
1353,264,9,102,190
1887,77,4,2838,152
1803,625,7,1942,422
1092,345,11,846,239
1213,680,8,2916,454
1681,830,12,971,488
1131,883,9,594,494
558,418,4,2564,291
627,309,9,1514,216
1235,917,9,727,511
1220,611,9,1175,374
1638,366,11,241,250
1732,265,9,1587,223
1025,362,8,145,215
1020,741,5,2991,477
1051,530,7,2157,348
736,533,8,763,307
1804,846,7,672,505
1882,959,5,2129,581
1724,765,10,1653,472
1801,703,5,1721,458
1758,293,4,2796,256
993,321,8,1012,213
503,108,4,739,96
1165,206,4,2763,212
941,491,4,2845,333
528,887,9,1008,490
1632,235,12,2325,218
1109,854,4,968,486
1304,624,8,1129,388
574,627,12,952,355
1337,374,12,406,254
1669,377,4,2695,303
627,579,11,2474,359
541,599,4,1916,366
1879,84,11,494,123
540,51,4,2447,105
1433,431,8,848,280
533,845,11,2432,506
1540,190,9,429,151
1676,554,12,2197,388
1497,80,4,2131,138
1901,577,12,872,380
1087,114,4,1745,137
841,209,6,1832,167
526,110,4,477,81
1810,777,6,1887,491
1145,316,5,1723,235
1230,595,5,1099,373
667,692,12,1948,408
1109,386,11,1661,275
767,664,4,873,381
1320,687,7,1183,409
954,408,4,1903,289
1405,782,4,1198,468
1924,230,7,2150,234
1421,604,5,1698,393
1480,191,6,847,163
1999,316,12,1571,253
1201,531,5,1864,347
1133,405,7,2422,288
629,13,4,1653,61
1519,872,5,1715,526
1886,923,8,2362,584
1318,857,4,1608,517
1192,813,10,428,458
1815,290,7,2402,258
1894,224,9,1510,212
1293,981,11,225,545
528,619,9,866,358
648,429,5,1673,274
1819,110,4,1327,137
510,972,11,1295,540
1175,530,11,1858,343
1636,582,12,316,358
686,318,9,1459,212
1306,667,4,1421,418
1243,948,12,931,531
1750,940,6,281,539
1833,519,9,433,334
597,72,12,610,75
554,642,6,482,356
1122,235,8,1996,192
1163,114,8,431,119
1257,983,10,1288,564
905,781,7,1365,448
568,870,7,999,485
1835,434,10,741,292
1812,264,12,1350,221
1250,438,7,733,276
1671,443,7,2598,328
1990,216,9,295,180
1767,37,9,1993,120
1457,691,10,557,401
864,345,4,929,223
981,597,6,2404,391
700,637,12,2156,402
653,78,9,2908,130
1973,875,9,1324,540
572,755,8,986,423
1212,522,6,492,326
795,176,8,1775,154
1540,873,4,2546,548
1740,739,6,2478,488
560,794,7,2627,479
1438,377,8,2281,290
541,260,12,1015,176
524,868,7,1034,477
1562,865,6,454,507
630,940,4,2731,544
1752,695,9,1621,451
607,179,10,2772,182
671,767,11,2437,465
1958,944,4,2972,591
601,99,7,728,83
1365,570,8,2779,390
1023,455,5,1270,300
774,303,4,426,194
1567,928,11,1538,547
1316,159,9,2357,171
1456,141,8,1521,157
1540,442,12,1226,303
829,68,5,2783,131
511,978,11,1880,553
1841,845,12,1631,520
715,208,4,2014,184
838,224,10,1332,177
1160,907,11,2056,531
1604,570,6,2575,397
873,481,7,492,281
1475,753,6,925,456
1209,256,10,2012,216
1723,391,12,2495,314
965,1000,6,149,541
1612,248,9,1496,215
1791,936,11,1150,552
988,376,9,899,249
546,177,5,1892,143
1811,569,10,2796,408
1277,60,5,1463,112
1539,820,5,2448,514
1210,619,5,1665,382
900,960,4,2313,562
1480,737,4,2463,473
1609,698,10,100,402
749,389,8,1119,250
890,483,6,1384,306
834,89,4,162,73
1128,706,9,2630,440
636,376,4,1969,265
1382,470,12,2369,329
1187,920,5,251,519
1326,548,4,743,347
1226,461,10,725,287
2000,473,9,316,310
1093,969,9,295,526
1746,487,8,1114,335
1489,935,7,2794,587
871,429,7,2855,310
1434,716,6,1621,446
1494,223,11,1678,201
901,378,10,1180,245
1966,863,12,1627,534
1114,123,4,821,126
1796,763,10,1707,485
1682,512,7,1859,360
1675,645,10,1662,407
1494,826,4,739,473
1119,597,8,2253,382
687,320,6,264,190
1621,478,8,314,313
630,833,7,1194,474
1304,717,5,189,420
1694,872,7,1895,525
1435,53,6,1351,99
1485,424,4,1202,283
682,707,11,707,393
1482,864,8,448,496
863,255,7,345,161
538,958,8,371,505
996,93,7,2130,120
1872,216,6,502,183
1481,160,8,1565,169
1420,677,7,1295,422
1920,537,4,1179,368
1221,174,6,1714,159
1684,926,11,1226,551
515,984,10,383,524
992,154,5,616,138
1949,46,4,2765,137
1631,342,6,1401,253
1393,412,8,711,275
1973,423,4,849,306
810,54,6,1392,80
1238,411,6,1956,294
1693,215,8,499,177
1045,71,6,1626,100
913,429,12,2124,286
750,877,4,2233,506
1258,477,7,419,301
1664,829,7,1155,492
1797,28,4,435,85
1939,374,5,2198,308
1562,309,4,273,223
1313,16,9,1741,93
528,770,6,600,429
1457,437,10,2223,322
976,126,8,2463,156
817,589,12,1956,359
744,516,10,1996,337
1247,555,7,1763,361
1196,715,8,1818,447
771,334,8,1878,232
1963,64,8,796,112
1762,787,12,831,474
876,51,6,1194,92
765,306,9,2813,245
1425,982,11,751,554
1420,240,12,1194,192
1882,462,10,145,293
839,899,6,1170,515
888,403,4,1545,263
1076,531,7,2296,352
502,367,9,555,227
1952,996,6,1762,606
1665,453,4,1065,300
875,137,9,2120,142
823,700,4,968,396
645,414,12,1628,274
792,401,4,1100,257
931,202,9,873,157
1204,613,4,2391,407
1448,890,10,2621,556
1084,752,6,2529,466
898,87,9,1226,102
1316,94,10,2636,156
1867,39,4,1160,99
1463,734,4,1777,449
1663,58,8,1643,115
686,786,9,496,434
560,154,12,2443,150
1438,78,4,206,105
1903,67,7,1053,116
1209,706,11,2677,448
1306,583,12,1948,375
1963,488,6,1033,334
1842,829,5,387,492
1825,454,7,805,311
1867,305,5,2143,258
510,687,4,1584,397
1585,180,6,314,162
725,584,10,1404,345
1676,156,4,2879,186
1063,493,5,2077,336
1271,315,4,1582,230
1833,682,11,1924,450
1384,662,8,443,398
1766,855,11,293,493
1889,618,6,257,385
1853,455,10,564,311
1630,230,11,2251,228
725,564,9,2181,366
1324,954,10,2786,581
717,813,5,1849,477
1436,387,11,2472,305
1252,629,8,2838,416
1005,275,10,691,182
758,104,4,2288,125
553,271,8,2621,213
1570,834,4,1154,492
1226,906,11,983,523
1188,80,7,162,96
1622,963,7,1210,565
1543,228,5,403,187
918,542,8,1184,323
1189,101,4,495,108
1349,136,12,433,122
561,89,8,2933,129
1668,833,9,510,496
715,247,5,2431,200
502,992,4,565,541
659,381,7,179,223
1280,925,10,2931,569
1643,495,9,1200,332
1392,703,4,2077,453
1612,34,4,832,100
828,165,11,1917,157
1079,526,7,1663,343
1880,641,8,1484,421
1790,798,10,2224,514
1451,539,11,2656,381
1846,952,10,1287,560
1134,719,5,1298,438
1487,66,7,2609,130
1718,614,4,1711,411
1420,28,12,2392,108
1237,393,6,221,241
1855,874,6,284,503
669,202,12,131,143
1020,246,6,1097,188
1986,396,11,2086,302
539,435,5,2909,292
1784,286,6,668,220
1918,236,5,2457,241
1454,754,4,1495,455
1749,561,5,1779,379
1483,332,11,929,234
1647,162,12,1719,166
1474,648,5,1179,400
537,246,10,890,176
827,64,8,2611,116
1774,989,6,2825,617
1699,445,12,2817,341
1413,693,9,2845,465
953,118,4,1093,122
536,875,8,177,466
1839,990,10,2681,611
1472,193,7,207,157
1295,960,11,1396,560
1472,377,8,2911,302
1092,992,12,2162,587
1637,207,12,469,169
1563,380,12,2352,303
1824,382,4,2104,296
723,982,5,1803,555
817,506,6,540,289
848,608,7,326,351
614,210,12,2675,178
1197,858,9,2501,524
1846,518,4,722,339
1563,331,12,1124,246
539,284,9,1676,201
1812,220,7,1743,204
1785,513,7,1284,344
715,912,6,260,497
1670,127,10,970,136
835,712,6,1845,429
1691,563,5,1274,374
591,51,11,543,69
852,324,7,1890,240
1070,797,11,1594,478
1315,338,4,562,232
1280,26,8,572,78
862,292,12,2704,237
1056,952,4,179,514
1868,267,7,1162,215
1693,584,9,339,364
855,583,11,656,331
690,621,6,689,356
921,28,8,1460,82
1199,538,10,1984,352
506,846,4,2075,498
632,432,10,1403,268
1056,475,11,1239,299
1325,382,11,2416,280
1260,767,12,2039,467
1554,772,9,434,448
1034,976,9,411,536
925,90,5,1176,101
1917,560,6,2841,405
1171,557,7,133,325
862,433,7,1941,286
1960,438,11,485,299
581,397,4,348,233
855,930,7,1234,530
1781,718,7,1533,446
1088,679,4,1302,399
794,213,6,893,155
1747,205,8,951,187
1569,737,9,475,444
1636,294,12,823,218
1756,978,12,1710,581
516,205,12,2013,167
859,316,4,301,198
1746,673,12,2592,460
1365,23,11,2042,98
1199,846,5,2444,524
947,155,4,1431,141
1355,947,4,592,530
864,66,9,437,71
1174,732,12,2068,462
1507,789,10,1965,496
1849,219,8,891,190
966,538,5,1616,335
913,807,4,2122,486
1978,353,5,2464,300
1085,724,4,1041,418
1756,620,6,2773,431
1747,288,9,2222,250
1493,218,11,158,166
1935,650,6,2533,438
1071,344,12,2162,257
834,297,8,1354,203
1745,261,10,2346,237
536,274,11,1477,194
1488,280,6,134,188
777,933,5,261,514
1719,929,5,2946,581
1415,709,8,994,428
983,428,4,570,271
1765,735,5,2678,477
1847,804,12,2939,529
1230,220,10,2999,218
691,374,9,1546,242
1540,85,12,447,113
1023,669,10,793,394
1417,330,8,1034,237
900,734,12,1012,423
1385,442,9,246,280
1204,118,9,1811,148
521,650,7,774,373
973,531,4,1539,342
1643,56,8,2834,145
709,388,12,1617,267
805,836,11,1379,481
1793,105,11,785,127
1203,967,8,1226,545
1186,112,12,220,109
784,901,6,2566,532
1215,863,6,2497,518
1262,155,4,141,133
1750,889,12,128,511
1447,951,9,1065,551
880,937,5,2015,538
959,36,11,2932,107
1530,741,12,2100,462
528,539,12,2161,336
1406,688,5,1019,409
1556,954,5,917,543
1378,998,10,2972,613
578,91,7,1608,110
1446,437,4,1312,299
958,593,11,971,352
1069,831,5,394,466
1953,488,6,963,326
1237,775,8,2695,493
1808,171,6,1137,181
1015,848,10,2782,513
1622,941,10,694,542
896,411,5,1282,259
538,517,10,1617,318
1794,47,9,1452,109
1386,964,12,713,545
1296,520,12,1972,350
656,402,5,1703,273
1598,722,10,1683,458
1383,503,8,1692,342
1653,209,9,1255,190
1473,264,4,564,194
1607,188,10,1579,189
1545,556,9,1390,367
1982,603,7,2946,439
1348,398,4,2542,291
1905,407,12,2393,316
1247,741,7,667,428
1963,167,5,137,158
1488,13,11,344,71
520,176,5,120,120
802,477,8,1233,296
1368,969,9,1729,573
583,418,11,493,251
1976,421,4,1533,317
1910,213,4,1086,190
1780,203,7,1771,195
1069,244,8,2155,204
1433,727,12,2475,465
1685,159,10,2010,189
1686,168,10,389,143
1508,288,11,1886,240
1292,825,8,2658,521
1291,413,8,1011,280
1794,902,4,460,522
991,687,12,1722,415
707,320,9,2863,251
1583,77,12,318,102
929,472,6,2553,328
1484,97,8,2115,136
1832,226,5,2140,211
1019,10,8,2144,97
1090,144,11,2900,168
1550,706,5,931,421
698,360,11,1893,242
886,149,7,1891,152
848,627,4,2941,416
1459,142,8,1343,144
1192,629,4,694,371
877,187,10,2254,168
1398,819,11,680,476
1415,367,6,2756,296
1026,389,6,1847,281
1676,917,10,2155,559
1233,880,7,2953,545
705,667,6,2336,408
954,459,11,180,267
1796,595,6,2255,405
1759,472,10,1444,335
1020,999,5,1702,579
1516,117,4,2833,175
1455,131,9,445,133
1225,26,11,1986,105
1513,205,4,2475,210
1000,336,12,654,226
616,327,6,401,205
885,818,6,299,456
1867,488,7,1162,342
1083,261,4,406,184
894,512,12,1756,319
1587,128,6,1971,158
1220,683,7,2615,437
571,719,4,2326,432
773,507,7,2792,351
1843,495,4,1946,352
837,54,8,1864,96
1889,323,8,375,228
1106,188,10,1275,164
665,903,11,1501,517
510,427,7,2768,299
1824,565,10,737,365
1228,792,7,1875,481
1300,87,6,1029,106
601,335,9,1980,238
1948,699,7,282,422
1915,366,6,1944,290
1278,425,12,171,273
713,972,8,2866,580
1611,524,10,1776,361
900,223,9,1395,171
1087,863,8,2873,534
1388,83,10,2416,132
1569,572,9,1143,357
1986,588,5,2725,421
1091,518,6,914,329
1833,341,5,1626,275
1609,102,6,2294,158
591,697,4,409,393
1172,666,11,2665,431
1213,528,9,2161,359
1435,278,5,231,189
741,385,11,1977,271
501,843,9,2902,505
724,13,10,2586,97
1300,147,4,2890,173
1088,240,10,839,174
615,609,6,894,355
1417,538,11,2410,361
1626,61,9,2790,154
693,655,7,357,368
1689,732,11,1357,457
1370,334,12,2556,260
589,979,5,1951,563
621,914,9,1074,512
642,740,8,1147,419
1493,726,8,370,434
605,732,6,1218,417
1386,286,11,241,192
927,545,11,1001,337
1828,495,8,373,321
816,525,11,2423,341
1134,161,11,564,139
508,964,6,1331,540
1273,492,5,1419,317
1596,268,12,387,193
1882,333,5,975,255
722,878,12,2092,516
1939,177,7,2327,200
1052,697,5,1220,421
1893,319,4,1314,257
1215,812,7,546,454
1787,488,12,2932,357
1841,65,12,2708,151
1607,629,7,2631,426
1841,482,12,2996,361
610,305,9,821,204
750,470,4,2263,321
882,333,9,2682,258
506,823,12,1451,463
958,855,5,506,479
1607,150,9,1825,175
707,676,5,793,392
1399,271,7,594,200
1913,794,11,1047,486
1837,429,10,122,287
521,753,12,1228,426
909,250,10,1798,193
1394,364,4,657,241
1014,858,5,1716,504
1650,779,9,1040,463
1308,770,10,1345,462
1373,598,6,1756,386
513,189,12,177,129
1470,75,10,1445,124
1477,829,9,906,492
1513,357,9,1141,264
1535,180,4,867,164
586,483,8,553,275
1408,543,6,2424,381
1824,376,10,1547,279
1766,116,6,1599,144
621,448,8,1150,274
1670,844,10,2661,532
1249,236,6,1988,212
1879,453,5,2611,352
1184,451,9,2954,329
808,405,11,2971,305
1194,737,7,462,420
787,590,12,2898,390
806,93,11,624,94
1413,624,10,1317,388
1161,560,10,1585,366
1048,22,6,2203,89
1875,818,9,1353,493
811,834,8,2636,501
1372,702,4,1955,438
1582,502,6,821,315
1423,277,4,2083,233
1254,534,7,1307,337
534,129,6,1548,112
944,979,7,1498,548
592,362,12,2188,244
1730,66,6,1607,132
852,49,9,1103,91
1402,895,9,2407,553
1855,345,10,2588,283
1361,649,12,1025,399
658,182,10,955,145
1456,556,4,183,340
523,268,11,2193,213
903,897,8,2587,540
1304,526,12,1642,344
1015,739,8,1085,422
1231,532,8,1968,359
1887,903,5,235,525
1905,848,6,1306,510
1031,126,12,1832,142
1455,193,10,1295,169
651,915,4,1008,498
1446,883,6,2935,556
1107,125,5,689,112
919,171,4,2051,156
1773,588,12,1055,377
1640,721,11,2837,476
1365,552,8,2686,383
1077,596,5,1243,356
834,246,4,1431,191
1941,848,10,2855,544
1431,75,5,1653,120
794,79,4,2442,129
1254,818,5,1906,491
1894,456,10,2200,348
685,425,10,905,260
1769,541,9,1555,368
1136,450,8,151,269
1791,747,6,2875,485
1760,955,6,171,550
1029,473,12,127,277
520,930,7,568,509
1410,405,12,863,273
1366,720,7,2694,456
1293,560,5,1524,354
599,666,7,2348,401
1251,566,9,919,356
977,404,9,1589,264
1821,335,8,1775,274
1439,902,4,659,524
1025,928,6,478,519
833,100,8,2018,130
501,759,9,1175,419
874,79,4,178,84
792,175,12,1508,161
1336,651,6,933,389
1504,223,6,1131,192
1052,861,5,2172,506
817,610,11,549,342
880,344,6,2915,275
513,773,9,2902,469
1003,378,5,2092,269
730,870,10,1584,504
1607,593,7,2345,404
629,686,12,1842,414
1337,58,12,2070,122
1668,61,10,2584,143
1390,298,11,1650,227
527,799,6,789,442
565,635,8,2090,385
1686,248,5,1501,209
1752,142,10,686,148
760,795,11,2251,480
1972,175,12,1929,202
1947,383,10,2085,293
959,382,11,726,239
800,814,12,2131,479
1418,487,9,2605,353
1826,764,5,463,447
786,488,5,2282,322
1918,841,7,473,492
1533,659,12,2186,422
1129,600,10,2087,391
769,691,5,2966,432
1091,644,11,2194,412
1343,697,10,2183,433
1361,309,12,2242,251
1884,91,11,1484,137
1780,96,6,1648,149
632,234,4,1269,172
1799,25,5,2040,110
1471,831,5,467,479
1012,367,7,164,230
812,172,9,853,136
1075,619,7,1643,379
1385,677,12,2135,430
1807,523,7,2963,382
1644,359,9,1976,279
1630,918,9,1678,560
1186,690,4,855,398
1727,473,11,2328,342
664,836,6,1624,489
804,846,9,696,468
655,384,6,2934,289
1890,101,5,2774,163
1119,190,8,1934,184
1774,752,4,2763,491
1456,310,12,1495,242
833,669,10,1686,398
1468,801,6,211,467
1010,198,7,552,145
1816,868,9,2903,561
1543,871,6,2731,551
781,323,10,2286,232
1296,502,9,1971,348
1524,932,12,2378,562
618,931,8,1362,526
1558,137,7,352,123
697,528,6,2104,342
984,435,4,1559,293
1582,568,6,2042,375
1336,574,6,2708,388
1684,196,10,1426,188
1508,559,10,2219,386
1190,462,4,1957,320
1729,480,6,2369,354
1535,997,11,1200,582
989,747,12,161,424
775,574,10,1594,345
1192,920,10,1280,526
741,233,11,905,176
1739,163,9,2272,194
1774,569,6,2888,406
625,360,4,1975,257
716,156,10,2308,163
1829,914,4,640,543
1708,585,4,725,365
1562,358,12,1714,275
1746,191,10,205,171
1707,646,7,1254,404
994,188,9,1808,165
926,48,4,2923,125
1701,781,10,2008,491
1418,903,9,2149,542
1951,12,7,2380,131
1817,73,10,468,101
650,38,6,1374,71
883,381,4,1045,254
807,532,7,2327,345
1859,106,6,392,135
1245,879,4,683,493
1391,451,5,2942,339
874,212,8,2322,181
1531,420,11,2270,308
1864,30,4,2374,131
628,560,7,2591,357
1514,744,7,2575,482
1168,111,8,864,121
1875,55,10,2779,140
1881,75,11,2212,149
1016,612,9,1404,381
585,173,4,1514,137
1698,980,10,527,556
1716,120,6,2765,185
810,347,9,2114,249
1642,132,11,2959,192
1741,714,10,206,420
926,456,9,758,272
1937,620,12,1282,401
613,300,12,2412,228
1668,680,4,1325,425
802,421,4,254,240
1243,624,4,995,376
1087,906,11,1621,529
1486,290,10,1720,243
844,52,6,1092,92
1313,495,5,2392,341
1300,605,7,1423,387
1524,972,6,1485,570
1670,712,10,2533,472
1810,60,11,2906,160
1576,907,9,2561,571
1827,219,6,1401,201
1592,135,9,2862,183
860,501,5,858,294
1743,518,10,846,341
1509,969,10,692,551
1203,979,7,1648,561
1074,590,11,2986,396
1684,786,7,115,451
1612,267,10,1092,215
1187,939,7,1168,543
1280,197,8,1444,179
1084,239,10,2798,213
1088,198,6,2295,192
1682,424,8,2502,315
988,19,6,802,74
1470,123,8,712,137
1847,85,6,204,109
1904,685,10,1597,433
1625,511,4,495,329
993,94,12,2753,145
518,58,12,2110,96
1977,504,8,950,349
896,847,12,2088,501
1500,698,9,541,418
1802,396,8,1768,296
1350,979,6,972,564
1888,398,11,766,282
1854,227,7,1151,201
1867,710,6,2941,486
1321,990,9,2622,590
954,355,11,727,222
1224,239,12,1528,202
1588,264,9,2649,238
1599,245,8,447,192
1210,35,5,1363,100
642,593,5,1117,353
1416,270,12,669,202
1327,775,5,2842,503
1104,280,5,2173,233
1996,132,6,2052,180
1940,665,6,2364,457
804,266,7,1451,195
1235,665,10,2984,444
790,430,12,2921,300
601,268,5,769,180
1790,957,7,817,555
1366,56,12,2457,135
1467,872,5,2746,535
1473,534,4,366,331
1341,897,11,1538,531
1461,217,12,2793,223
1441,320,10,1456,241
1526,756,11,1122,447
584,158,7,2137,140
827,843,7,2597,515
1315,447,5,664,295
1973,164,11,1370,180
953,687,5,1159,414
1128,99,12,1524,123
1744,707,7,127,409
1677,839,4,319,487
1164,367,7,505,239
511,183,6,1737,146
1656,226,9,1898,216
803,916,10,2418,531
1816,465,11,1859,325
1474,785,5,1774,483
1823,618,9,891,400
1282,638,9,1062,380
542,208,8,1409,159
1443,841,10,933,483
842,495,6,416,292
1849,542,7,1420,360
997,209,12,2485,199
863,380,7,1430,255
1390,968,6,450,535
926,862,5,610,479
1504,457,8,2672,342
520,257,7,591,161
906,797,11,2031,477
1118,273,10,1717,213
1514,67,9,2156,133
835,311,5,1620,231
1640,40,6,1683,103
1647,507,12,2708,370
898,258,12,2587,225
1292,614,8,1675,382
1214,786,6,2939,507
550,280,5,1861,202
823,615,11,2091,393
1288,675,9,1368,410
640,403,10,2180,275
969,806,4,1146,465
1286,511,4,2992,356
1857,601,5,2713,413
1463,813,6,148,460
1507,93,4,561,103
872,374,8,2737,285
993,895,6,435,499
1250,558,4,1481,359
1679,351,11,1245,256
790,848,9,458,462
1667,416,12,2493,309
605,434,6,292,246
1943,753,12,1539,471
1169,102,12,1500,123
501,857,4,855,467
1088,623,6,1784,384
1143,421,9,2625,316
589,441,11,927,272
1868,687,7,989,434
849,168,8,752,125
1982,23,12,2555,135
1786,382,9,2433,296
1874,234,10,2021,215
1631,514,10,950,330
1562,82,7,210,99
1408,258,7,719,196
658,520,7,892,316
1458,612,8,2197,402
811,225,8,1257,169
1764,982,11,687,573
944,611,12,2743,396
797,550,5,2817,374
1451,956,10,1409,553
535,826,4,2057,475
1607,948,4,2461,582
1975,997,7,2753,628
1908,229,10,396,195
1695,849,5,1729,526
1899,736,5,668,451
1885,230,4,1287,200
1058,398,5,931,264
1390,563,10,709,350
640,656,12,115,365
1386,51,9,1469,101
1641,685,5,171,408
1800,882,12,369,522
1225,292,10,386,207
1743,67,4,165,93
1549,823,12,979,497
1020,843,5,167,466
509,546,7,1316,317
1483,82,12,1502,119
877,894,7,1073,503
1181,932,6,607,522
1083,138,4,2984,174
651,608,10,1225,351
1219,851,9,985,495
1572,435,7,2941,332
1677,957,9,2569,591
1358,674,9,2087,434
1816,703,7,874,442
549,134,9,2625,143
1163,76,11,1025,106
1030,15,6,219,53
1583,646,7,2038,430
1690,323,4,587,226
1725,335,7,2225,278
1356,574,12,540,358
645,587,11,561,341
1414,835,7,711,483
1492,515,10,1417,350
1962,91,6,1759,146
741,608,12,1016,358
1080,11,7,2756,108
1186,213,5,105,149
982,671,8,780,399
1631,814,5,2418,505
1749,413,9,1743,301
1172,112,4,2958,157
1130,545,9,2706,361
1160,377,7,198,244
1161,221,6,625,162
1955,586,5,2341,407
1304,970,10,1280,561
918,218,12,1789,188
1487,772,6,1238,466
1978,906,9,495,527
1683,126,12,869,142
1149,637,5,1926,392
1468,758,10,1645,463
1089,487,8,2892,345
1600,114,8,782,133
1008,504,10,1656,334
940,780,12,114,426
1777,55,7,2515,148
1420,832,12,2785,528
1269,340,12,3000,269
1843,225,7,1336,197
762,991,6,2847,576
1897,969,5,104,560
1136,501,12,2378,349
1690,822,5,2008,514
958,931,9,1525,544
1498,854,8,1707,511
1803,458,8,2733,347
1199,545,7,268,321
801,520,9,2908,355
1741,467,8,891,320
1625,556,7,1099,351
1053,545,12,251,324
787,549,9,2371,362
1690,493,6,603,328
1120,985,9,1673,578
1505,25,4,2191,118
535,580,8,2844,382
1243,986,9,603,555
852,252,11,942,188
572,959,12,450,523
1147,216,6,2170,190
1876,921,5,1759,558
1593,280,7,697,204
924,770,11,1166,455
1498,788,11,2613,496
1207,714,6,139,405
1060,856,7,2450,518
1327,739,6,274,425
1455,124,5,1098,140
1016,589,7,1584,369
927,308,9,2768,238
659,846,8,1316,472
648,492,6,2391,330
1275,406,5,935,278
1753,403,12,2427,306
566,84,4,1159,93
1513,987,12,2704,594
880,491,4,997,296
557,112,10,1663,109
1782,306,9,1146,234
841,187,10,2866,185
1653,224,6,1031,201
1226,976,6,2238,580
1695,324,4,2537,280
1269,48,7,2697,135
1113,268,5,1351,201
1732,725,11,1325,454
853,16,6,1473,74
1994,58,10,1161,115
615,547,10,2880,369
1787,170,12,599,166
1161,878,9,1822,523
1965,185,4,2664,217
952,600,11,2215,388
2000,11,4,1863,103
786,904,6,2270,522
1826,464,8,1808,338
1516,937,11,435,530
810,653,12,1276,386
707,285,10,878,196
1117,507,12,1285,322
945,638,6,2033,407
1169,685,8,1566,416
1132,809,11,2570,501
554,37,4,1661,77
1411,342,11,1038,247
1535,10,10,903,88
1156,197,4,2035,186
1923,65,9,733,112
1479,556,4,1353,358
1014,121,5,1182,119
736,807,8,2243,477
1802,319,5,1385,248
847,45,4,453,61
1126,448,9,1259,302
1627,738,11,1985,467
1129,601,11,1918,382
1771,835,11,1066,505
863,604,9,2620,387
820,586,6,2577,376
785,334,4,2684,261
648,649,5,1269,380
1607,316,8,1647,246
905,543,8,2234,346
1477,737,4,208,427
955,628,4,1468,374
1299,118,12,1857,144
1684,381,5,1093,273
1512,366,10,1617,268
1283,190,7,1456,167
959,365,10,921,243
1237,685,11,1036,403
1008,77,8,2796,135
980,301,4,290,192
613,701,7,2096,422
1248,190,6,1032,160
860,475,8,241,275
