id,tea_bush_density,fertilizer,pesticide,sunlight_hours,humidity,max_temperature,min_temperature,avg_temperature,rainfall,monthly_rainfall,tea_quality,shoot_length,bud_density,tea_yield
2195,2000,180.2,4.5,1516,84.3,25.2,19.1,22.2,2363,196.9,0.129,14,202,183.1
2196,2000,95.2,4.41,1643,60.3,33,17.3,25.2,2348,195.7,0.1,5.3,118,204.5
2197,2500,118.1,3.74,1714,73.5,29.2,11.2,20.2,2342,195.2,0.201,5.7,319,220.7
2198,2000,128.9,4.64,1542,81.4,30.2,13.5,21.8,2369,197.4,0.184,14.9,251,139.5
2199,2000,177.6,2.77,2369,85.5,28.9,11.7,20.3,2147,178.9,0.157,9.9,286,181.1
2200,3000,189.7,2.24,1988,86.6,30.5,15.9,23.2,2345,195.4,0.258,6.4,365,268.7
2201,1500,189.4,4.84,1539,74,25.5,17.2,21.4,2307,192.2,0.123,9.5,448,159.3
2202,2000,51.2,2.32,1537,85.4,28.8,19.8,24.3,1399,116.6,0.297,6,230,161.5
2203,1000,188.3,3.21,1754,61.1,31.7,15,23.4,2267,188.9,0.222,14.8,452,132.5
2204,2500,58.2,1.87,1050,69.2,34.4,16.4,25.4,1842,153.5,0.303,12.2,354,197.8
2205,3000,89.9,3.18,2390,60.3,33.5,11.1,22.3,1780,148.3,0.196,7,476,204.6
2206,1500,127.2,3.6,1335,65,34.6,11.6,23.1,1185,98.8,0.1,10.6,323,146.1
2207,2500,122,3.12,2046,81.7,32.8,12.3,22.5,2277,189.8,0.156,12.2,402,211.8
2208,1500,140.7,2.57,2167,60.1,31.3,10.5,20.9,1476,123,0.228,12.4,115,194.1
2209,3000,121.9,1.5,2241,75.7,29.2,14.1,21.6,1316,109.7,0.204,8,123,224.8
2210,2500,190.2,3.22,1248,72.4,26.2,19.5,22.8,2243,186.9,0.157,5.8,135,213.6
2211,2500,86.1,4.54,1805,63.7,27.5,16.5,22,1040,86.7,0.1,13.8,447,245.5
2212,1000,91.1,0.03,1126,80.6,27.7,14.4,21,1298,108.2,0.338,14.3,168,91.8
2213,3000,188.1,0.67,2207,80.8,29.3,14.9,22.1,1737,144.8,0.332,10.4,178,241.2
2214,2500,61.5,0.6,1730,81.8,31.1,11.5,21.3,2334,194.5,0.334,13.6,125,176.5
2215,2000,141.4,4.62,1238,83,31.2,11,21.1,1650,137.5,0.146,10.4,446,168.4
2216,2500,152.3,3.31,2078,69.4,29.6,12.6,21.1,1259,104.9,0.127,7.6,135,219.2
2217,1500,125.8,4.76,1497,89.8,27.7,13.1,20.4,1734,144.5,0.1,11.6,372,150.4
2218,2500,154.1,2.91,1172,62.2,25.6,11.2,18.4,1943,161.9,0.215,10.7,243,222.4
2219,1500,75.9,2.31,1692,79.4,34.9,16.9,25.9,2310,192.5,0.174,14.1,216,154.5
2220,2500,177.9,3.96,1353,89.1,34.4,19.2,26.8,2210,184.2,0.191,14.4,428,194.2
2221,2000,71,0.8,2425,66.7,26.8,11.7,19.2,2167,180.6,0.305,9.4,244,148.2
2222,1000,110.1,1.91,1542,68.3,31.1,18.4,24.8,1738,144.8,0.178,6.7,111,138.4
2223,1500,61.3,2.33,1859,77.3,28,13,20.5,2363,196.9,0.271,12.9,181,118.1
2224,1000,131.8,1.49,2423,83.4,26.9,16.1,21.5,2318,193.2,0.286,7.3,270,120.5
2225,2000,150.5,1.86,1591,69.9,31.8,10.9,21.4,2142,178.5,0.339,10.8,143,189
2226,2000,191.2,0.39,1537,85.1,32.9,12.4,22.6,2190,182.5,0.387,11.7,142,206.9
2227,2000,160.9,0.99,1244,67.2,29.1,11.6,20.4,2359,196.6,0.21,13.5,184,185.6
2228,1500,131.2,1.68,2407,86.2,25.6,11.6,18.6,1514,126.2,0.25,7.1,316,175.1
2229,1500,189.9,3.98,2201,67.6,29,19.3,24.2,2431,202.6,0.15,13.4,383,160.1
2230,2500,121.8,0.91,1332,78.5,30.3,13.6,22,1198,99.8,0.311,10.1,365,211.5
2231,1000,134.2,1.73,1499,70.7,33.9,12,23,2318,193.2,0.209,10.3,102,125.7
2232,3000,139.4,0.32,2372,69.7,31.6,11.7,21.6,1341,111.8,0.327,14.4,279,245.5
2233,2500,111.5,2.79,1806,70.6,32.1,16.7,24.4,1835,152.9,0.187,8.8,275,198
2234,2000,175.8,3.06,1835,75,27,17.2,22.1,1862,155.2,0.148,5.3,190,186.7
2235,2000,77.8,4.33,1972,85.4,32.2,19.8,26,2404,200.3,0.109,7.7,338,185.1
2236,2500,133.2,4.1,2143,82.8,30,16.3,23.2,1409,117.4,0.117,12.7,203,212.6
2237,1500,158.3,1.43,2409,73.5,33.2,14.6,23.9,1632,136,0.362,13.5,496,147.1
2238,1000,185.6,0.68,2203,68.5,27.2,12.2,19.7,1216,101.3,0.362,10,378,180
2239,1500,182.6,0.78,2402,85.6,30.1,10.4,20.2,1817,151.4,0.324,9.7,467,137.2
2240,2500,126.3,4.84,2231,86.1,27.1,18.8,23,1586,132.2,0.1,8.5,124,182.7
2241,1000,146.5,3.37,1070,73.6,27.9,17.9,22.9,1667,138.9,0.244,13.3,252,152
2242,2000,109.1,0.21,1176,80.9,33.3,18,25.6,1105,92.1,0.232,9.2,133,191.7
2243,3000,120.2,0.68,2327,71.1,31.9,13.2,22.5,2250,187.5,0.244,7.5,353,237.4
2244,2500,185.9,2.43,1042,64.5,32.3,13.6,23,1530,127.5,0.139,12.2,159,210.8
2245,2000,189.6,1.04,2191,69.6,25.7,17.8,21.8,1955,162.9,0.242,10.2,214,189.5
2246,1000,184.3,4.02,2275,80.5,32.3,16.9,24.6,1949,162.4,0.229,5.8,303,145.5
2247,2500,70.8,2.87,1623,83.1,29.9,16.5,23.2,1954,162.8,0.243,11.8,479,191.6
2248,2000,177.5,3.06,1532,85.5,29.6,15.5,22.6,1351,112.6,0.207,9.1,476,179.2
2249,1500,192.3,2.31,1292,60.5,29.1,13.7,21.4,1157,96.4,0.219,13.5,294,171.2
2250,1000,104.2,1.28,1073,74.6,33.5,17.4,25.4,1106,92.2,0.23,14.4,256,135.7
2251,3000,127.8,2.95,2118,68.2,26.8,13.6,20.2,1854,154.5,0.233,14.7,235,228.8
2252,2000,166.9,3.58,1111,80.5,33.1,17.3,25.2,1142,95.2,0.238,14.9,484,199.5
2253,2500,134.3,1.85,2417,67.4,34.3,11.9,23.1,1597,133.1,0.291,13.6,398,205.2
2254,2500,199,2.52,1445,77,26.7,15.9,21.3,2314,192.8,0.251,8.7,323,213.5
2255,2000,118.4,4.2,2191,81.4,35,13.6,24.3,1116,93,0.185,7.6,137,181.3
2256,2000,157.1,0.74,1090,83.1,34.9,18.3,26.6,1976,164.7,0.314,7,160,209
2257,2000,168.9,2.73,1804,68.1,31.2,15.2,23.2,1643,136.9,0.103,12.4,442,197
2258,2000,124.1,1.74,1524,62.6,27.7,16.2,22,2290,190.8,0.308,11.4,485,201.3
2259,2000,178.5,3.51,1045,66.6,29.3,10.8,20,2114,176.2,0.112,10.8,424,185.3
2260,2500,131.9,0.09,1984,78,26.7,15,20.8,1178,98.2,0.339,9.1,272,211.7
2261,2000,111.7,3.35,2415,61.2,26.2,17.8,22,1439,119.9,0.258,12.7,197,193.3
2262,2500,66.2,0.51,1016,64.8,32,18.6,25.3,1955,162.9,0.312,9.1,154,182.6
2263,2000,109,0.32,1406,89.9,30.8,17.2,24,1257,104.8,0.415,9.5,160,153
2264,2000,160.1,3.62,2055,71.5,30.6,14.2,22.4,2203,183.6,0.169,8.4,247,169.6
2265,2000,188.2,3.2,2307,74.9,27.5,12.6,20,1365,113.8,0.14,9.7,398,207.1
2266,2000,87.8,4.47,1286,60.3,27.3,13.9,20.6,2246,187.2,0.11,6.2,388,202.2
2267,2500,103.3,2.6,1106,77.8,34.9,15.6,25.2,1401,116.8,0.186,14.2,278,188.7
2268,1500,73.1,2.65,1013,69.8,31.3,10.1,20.7,1326,110.5,0.261,12.5,250,131
2269,2000,153.6,3.54,1323,75.9,33.2,19.1,26.2,2412,201,0.159,10.6,257,222.1
2270,1500,194,1.62,1107,75.8,28.8,13.4,21.1,1955,162.9,0.299,13.7,421,133.9
2271,2000,146.1,0.18,1539,89,33.4,18,25.7,1810,150.8,0.36,6.4,156,202.1
2272,2000,142.6,1.15,1660,68,32.2,15.3,23.8,1073,89.4,0.188,6.3,154,190.5
2273,2000,133,1.19,1720,77.1,28.5,16.6,22.6,1422,118.5,0.246,12.7,142,182.6
2274,3000,63.3,1.68,1213,71.4,32.2,17.6,24.9,1186,98.8,0.258,8.8,466,218.3
2275,2000,159.4,4.72,1696,72.7,34.3,12.9,23.6,1239,103.2,0.1,12.8,126,189.6
2276,2500,140.3,4.02,1014,61.7,27.1,16.1,21.6,1394,116.2,0.142,13,373,208.5
2277,2000,149.2,4.68,1359,80.7,30.5,17.5,24,1204,100.3,0.138,14.1,292,190.9
2278,2000,184.8,4.99,1554,65.9,34.7,17.7,26.2,2349,195.8,0.145,8.2,150,165.7
2279,1000,167.6,2.17,1178,74.1,33.2,14.2,23.7,1127,93.9,0.248,5.5,276,140.5
2280,1500,167.1,1.14,2221,73,31.2,17.3,24.2,2289,190.8,0.292,9.8,215,177.6
2281,2000,189.1,2.8,1302,74,25.7,13,19.4,1719,143.2,0.232,5.8,282,176.6
2282,2000,198.5,4.41,2132,71.3,29.1,11.2,20.2,1235,102.9,0.1,10.2,458,206.9
2283,1000,137.2,2.33,1711,67.3,31.5,11.1,21.3,1791,149.2,0.234,13.7,178,135.6
2284,1500,66.3,2.53,1720,73.5,29.1,15.1,22.1,2292,191,0.238,10.4,217,132.8
2285,1500,118.9,0.67,1968,61.4,35,13.8,24.4,2335,194.6,0.309,6.9,429,140.2
2286,3000,168.1,2.1,1066,67.3,32.5,12.3,22.4,1534,127.8,0.232,7.3,345,220.9
2287,2000,54.2,1.93,1118,83.5,26.9,13.9,20.4,2005,167.1,0.285,13.7,170,145.3
2288,2000,58.5,1.76,1490,85.3,29.9,14.1,22,1099,91.6,0.209,13.5,472,147.4
2289,1500,60.1,4.44,1625,81.5,28.8,15.5,22.2,1749,145.8,0.1,9.6,295,139.5
2290,2000,159.7,0.3,1645,79,30.9,10.6,20.8,1340,111.7,0.318,12.6,478,195.3
2291,1500,125.2,4.86,2015,84.3,29.5,19.1,24.3,1448,120.7,0.157,5.2,107,189.2
2292,1500,105.3,0.04,1001,63.8,27.4,13.7,20.5,1696,141.3,0.264,13.7,267,151.4
2293,2000,65.8,4.73,2439,75.8,32.2,16.2,24.2,2370,197.5,0.159,7,273,146.1
2294,1000,159.8,2.74,1262,63.5,26.1,13.1,19.6,2235,186.2,0.272,7.4,226,149.1
2295,1000,98.2,3.51,1373,83.3,30.3,17.6,24,1574,131.2,0.182,10.4,205,128.8
2296,1500,89.8,0.94,2358,75.6,28.1,14.6,21.4,1716,143,0.243,9.6,184,157.3
2297,1000,147.8,3.27,1008,84.3,34.7,13.2,24,2311,192.6,0.103,6.4,340,139.6
2298,1500,133.9,4.41,2487,84,28,19.6,23.8,1124,93.7,0.23,12,476,147.9
2299,2000,104.4,0.7,1054,74,28.4,18.7,23.5,2165,180.4,0.248,10.8,395,183.6
2300,2500,146.2,0.64,1181,74.9,32.1,11.8,22,1254,104.5,0.284,14.1,209,217
2301,2000,90.7,1.52,1360,60.8,26.3,17,21.6,1418,118.2,0.167,14.7,327,156.3
2302,2000,169.2,0.81,1658,75.7,28.2,17.5,22.8,1326,110.5,0.198,8.9,376,191.7
2303,1500,84.4,0.55,1778,80.3,32,10.3,21.2,1827,152.2,0.352,8.8,301,146.7
2304,3000,73.8,3.39,1157,67,25.3,19.6,22.5,1345,112.1,0.139,13.5,337,227.5
2305,2000,167.4,1.07,1111,89.6,28.1,12.3,20.2,1685,140.4,0.339,6.2,334,223.3
2306,1000,156.2,3.34,1048,89.2,25.1,19.1,22.1,1039,86.6,0.164,5.4,379,132.1
2307,2000,77.4,4.31,1385,68.5,26.5,16.5,21.5,1474,122.8,0.184,5.2,274,190
2308,1500,67.4,3.26,2382,81.4,31,15.1,23,2067,172.2,0.168,14.5,390,127.1
2309,2000,175.8,0.6,1585,60.9,29.6,17.9,23.8,1652,137.7,0.353,9.4,452,195.2
2310,2000,166.5,2.87,2146,80,26.6,16.8,21.7,2235,186.2,0.154,11.4,213,191.9
2311,2500,99.1,1.97,1285,78.7,25.8,17.4,21.6,1690,140.8,0.207,6.4,222,200.3
2312,2000,148.7,1.72,1097,84.7,25.6,18.6,22.1,2314,192.8,0.215,5.4,250,165.6
2313,2500,68.6,1.59,1831,69.1,25.9,14.7,20.3,1592,132.7,0.229,13.9,181,217.7
2314,3000,126.1,4.65,2233,86.3,26,14.3,20.2,1542,128.5,0.1,12.4,486,241.2
2315,1500,52.8,3.71,2348,85.7,25.9,19,22.4,1385,115.4,0.111,12.6,296,141.8
2316,1500,108.7,0.67,1819,80.1,25.6,18,21.8,1693,141.1,0.263,9.7,223,142.5
2317,2000,61.2,2.38,1441,74.2,32,10.2,21.1,2246,187.2,0.322,11.3,340,173.3
2318,2000,121.3,1.59,1164,78.6,34.4,16.5,25.4,2071,172.6,0.259,11.2,410,192.7
2319,2000,113.3,4.89,2002,81.9,33.6,19,26.3,1259,104.9,0.1,14.9,231,173.9
2320,3000,116.7,4.89,1421,89.3,27.7,16.8,22.2,2388,199,0.145,9.7,171,228.9
2321,2500,56.8,1.6,2266,63.7,27,15.5,21.2,1670,139.2,0.234,8.9,481,196.4
2322,2000,104.2,1.76,1908,69.4,25.5,11.8,18.6,1334,111.2,0.266,12.1,498,160.8
2323,2000,163.5,3,2288,83.4,26.6,19.5,23,2409,200.8,0.232,11.9,211,165.7
2324,2500,105.3,2.4,1850,72.3,30.7,16.3,23.5,1661,138.4,0.251,11,293,189.8
2325,3000,157.3,1.07,2158,80.2,35,11,23,1261,105.1,0.289,8.9,111,221.8
2326,2500,105.4,3.3,1441,64,33.6,19.3,26.4,2235,186.2,0.179,9.4,425,203.1
2327,1000,113.5,1.67,1755,81.3,30.1,15.2,22.6,1750,145.8,0.28,7.5,115,143.1
2328,2000,134.6,3.27,1029,80.2,29.2,11.6,20.4,1295,107.9,0.207,7.3,407,181.1
2329,1000,192.6,1.92,1912,77.6,26.5,12.3,19.4,2020,168.3,0.266,13.6,211,132.9
2330,1500,66.3,3.5,1801,83,29.2,19.7,24.4,2473,206.1,0.182,7.2,474,132.8
2331,1000,54.9,3.34,2133,86.4,30.9,14.4,22.6,1126,93.8,0.133,13.5,200,110.4
2332,2000,141.2,2.54,2093,84.9,31,14.2,22.6,1652,137.7,0.248,6.8,500,205
2333,2000,192.4,3.52,1941,63.8,30.6,14.9,22.8,1770,147.5,0.101,10.4,155,177.8
2334,1500,198.5,2.3,1085,82.3,33.2,17,25.1,1992,166,0.233,9.8,459,168.9
2335,2000,122.6,0.58,2355,73.5,30.1,13.7,21.9,1343,111.9,0.319,12.6,165,173.7
2336,2000,120.2,0.91,1027,70,29.7,14.2,22,1277,106.4,0.22,13.9,430,181.9
2337,2000,146.7,1.23,2205,86.4,28.1,17.5,22.8,2113,176.1,0.251,7.5,217,179.3
2338,1500,133.3,0.32,1719,76.8,26.8,14.6,20.7,2004,167,0.393,9.5,278,157.1
2339,2000,145.1,3.56,2227,75,25,17.1,21,1369,114.1,0.123,6.8,309,161.5
2340,2500,181.1,1.84,1698,83.5,28.2,19.6,23.9,1085,90.4,0.282,8.4,460,195.2
2341,1000,161.9,0.47,1970,76.6,31.3,19.6,25.5,2200,183.3,0.262,7.5,168,134.8
2342,1000,124.5,4.1,1545,85.7,30.6,14.5,22.6,2023,168.6,0.1,14.7,478,123.5
2343,2000,119.3,3.42,2116,63.1,30.3,12.3,21.3,2320,193.3,0.205,9.4,186,178.6
2344,3000,145.9,2.26,1381,83.3,32.7,12.5,22.6,1101,91.8,0.288,7.7,362,232.5
2345,2000,118.4,1.24,2079,64.9,27.3,18.2,22.8,1731,144.2,0.276,6,384,188.7
2346,2000,118.7,0.76,1290,66.8,31.8,10.8,21.3,1239,103.2,0.319,8.5,429,168
2347,2000,52.4,2.29,2083,65.4,31.1,10.4,20.8,2012,167.7,0.291,14,491,153.8
2348,2000,76.1,4.43,1441,67.2,28.4,16.8,22.6,1374,114.5,0.106,12.1,124,192.3
2349,1000,123.3,0.94,1418,82,27.2,19.1,23.2,1394,116.2,0.302,6.4,412,141.9
2350,2000,173.4,2.84,2217,79.7,30.6,12.3,21.5,2072,172.7,0.193,5.1,252,196.4
2351,3000,91.8,4.81,2221,66.9,34.5,10.5,22.5,2237,186.4,0.1,11.1,381,225.6
2352,2000,128.4,3.19,2037,68.1,25.8,19,22.4,2366,197.2,0.106,14.6,211,207
2353,2500,101.7,2.2,2386,63,34.5,13.5,24,1117,93.1,0.181,7.8,478,200.2
2354,2500,65.7,3.58,1234,72.4,29.6,15.5,22.6,2210,184.2,0.222,8.8,400,202.3
2355,1500,193.7,4.12,1404,71.4,32.1,18.4,25.2,2457,204.8,0.218,13.2,265,182.5
2356,3000,178.2,2.95,1441,64.4,33,12.5,22.8,1079,89.9,0.134,8.8,486,263.6
2357,1000,61.8,4.36,1458,85,26.5,16,21.2,2368,197.3,0.169,10.4,414,139.1
2358,2000,158,2.57,1492,85.6,25.4,19.9,22.6,2431,202.6,0.21,5.3,386,176.3
2359,1500,102.1,4.15,2046,63.3,26.3,17.4,21.8,1288,107.3,0.204,11.8,431,149.6
2360,1000,199.2,4.76,1406,68,28.4,14,21.2,1463,121.9,0.1,5.2,360,139.8
2361,2000,95.4,2.51,1429,82.1,34.6,17.7,26.2,1449,120.8,0.187,8.7,290,159.8
2362,1500,85.8,3.03,1856,86.1,25.4,10.2,17.8,2424,202,0.209,5.8,214,144.1
2363,2000,135.2,3.05,1290,62.2,34.2,12.2,23.2,1025,85.4,0.107,5.5,142,160.5
2364,2000,175.3,3.91,1547,87.1,30.6,17.4,24,1835,152.9,0.161,5,263,191.9
2365,1000,78.9,4.11,1087,61.8,26,12.6,19.3,1869,155.8,0.116,5.2,288,78.8
2366,1500,156.4,0.14,2429,79,26.5,11.3,18.9,1978,164.8,0.323,10.9,477,172
2367,2000,59.2,3.67,1476,60.7,31.9,12.9,22.4,1336,111.3,0.119,5.2,348,149.6
2368,2000,187.8,3.92,2275,87.8,31.1,11.7,21.4,1711,142.6,0.113,5.7,120,176.2
2369,2500,62.2,3.5,1795,70.6,26.7,14.2,20.4,1619,134.9,0.18,9.1,109,204.7
2370,2000,187.1,3.57,1342,79.5,34,11.2,22.6,1613,134.4,0.17,9.1,437,188.9
2371,2500,123.6,0.21,1290,65.5,26.3,18.4,22.4,1501,125.1,0.316,7.6,337,197.8
2372,2000,117.2,2.21,2042,69.6,30.1,17.8,24,2415,201.2,0.25,11.6,325,165.3
2373,2000,196,4.09,2447,82.4,30.3,13.1,21.7,1977,164.8,0.138,5.7,243,184.8
2374,2000,198.6,4.67,1275,89.2,33.7,15.2,24.5,2140,178.3,0.105,7.9,387,212.6
2375,1500,147.5,1.15,1173,89.8,25.2,18.6,21.9,1483,123.6,0.257,11.9,433,161.9
2376,2000,69.1,2.9,1581,84.3,26.4,19.3,22.8,1001,83.4,0.254,6.1,459,178.5
2377,2500,125.9,4.02,1591,85.4,26.7,10.9,18.8,2428,202.3,0.262,12.1,278,183.2
2378,2000,129.4,3.76,2209,89.1,25.6,17.2,21.4,2315,192.9,0.1,5.2,133,203.9
2379,2500,127.2,3.09,1703,61.2,31.3,11.4,21.4,1687,140.6,0.169,12,447,198.9
2380,2500,135.4,0.09,1094,65.1,27.3,10.2,18.8,1578,131.5,0.324,12.9,373,187.8
2381,2500,52.8,3.62,2381,61.6,30.8,10.8,20.8,1667,138.9,0.163,12,387,185.3
2382,3000,156.7,3.87,1560,75,32.8,15.8,24.3,1404,117,0.287,12.6,477,248.1
2383,2000,156.9,3.61,2003,88.8,29.1,13.8,21.5,1922,160.2,0.172,13.3,192,198.9
2384,2000,67.3,3.83,2001,77.5,32.7,11.2,22,2461,205.1,0.137,9.7,424,153.9
2385,2000,135.5,2.15,1085,76.7,32.8,14.7,23.8,1100,91.7,0.265,8.7,273,179.4
2386,2000,135.3,4.97,1005,84.8,27.6,15.1,21.4,2184,182,0.142,11.6,475,173.8
2387,2000,152.4,3.85,1132,87.9,25.2,17.9,21.5,1089,90.8,0.124,10.8,231,172.5
2388,2500,62.8,2.89,2435,81,26,16.6,21.3,2289,190.8,0.199,12.1,331,230.8
2389,2000,144,4.67,2191,86.9,33.2,14.7,24,1219,101.6,0.111,13.2,366,178.5
2390,2000,92.1,4.54,1198,65.3,29.1,13.2,21.2,1742,145.2,0.191,5.4,116,193.4
2391,1500,126.1,4.07,1922,75.1,33.4,10,21.7,1763,146.9,0.146,11,358,156.6
2392,2000,166,2.82,1918,70.9,30.5,18.3,24.4,1946,162.2,0.223,10.9,377,185.5
2393,1500,155.8,2.64,1001,70,27,12.7,19.8,1908,159,0.179,12.5,431,181.9
2394,2500,67.8,1.64,1644,66.4,32.1,12.1,22.1,2054,171.2,0.28,14,231,218.3
2395,2000,138.7,1.25,2068,86.8,30.6,17.3,24,2273,189.4,0.28,7.3,388,180.5
2396,1500,195.4,2.56,1280,73.5,28.5,10.7,19.6,1054,87.8,0.199,14,428,187.2
2397,1000,73.5,2.89,2276,75.9,25.9,12.6,19.2,2107,175.6,0.171,12.5,428,119
2398,2000,177.9,1.22,1990,68.3,26,14.4,20.2,1077,89.8,0.287,7.4,196,191.3
2399,2000,155.4,4.61,1010,88.9,26.9,14.4,20.6,2191,182.6,0.113,11.6,482,190.5
2400,2000,166.1,2.79,2282,78.3,31.7,11.6,21.6,2190,182.5,0.158,11.7,391,203.7
2401,1000,92.3,2.63,1029,60,32.3,10.4,21.3,1286,107.2,0.157,8.3,377,148.1
2402,2000,93.2,2.18,2332,68,31.3,14.7,23,1314,109.5,0.239,8.8,425,162.1
2403,2000,185.9,0.29,1501,90,28.4,13.6,21,1117,93.1,0.339,5.9,414,194.4
2404,2000,104,4.41,2048,89.2,29.4,12.8,21.1,1360,113.3,0.16,10.3,185,153.6
2405,2000,59.5,1.58,2181,76.3,32.1,12.7,22.4,1749,145.8,0.271,14.8,342,162
2406,2000,140.1,3.21,1422,76.9,31.6,15,23.3,1583,131.9,0.128,5.6,427,185.8
2407,1500,68.7,3.04,1535,87,32.7,10.2,21.5,1336,111.3,0.224,11.1,368,136.6
2408,3000,169.5,2.92,1764,81.3,27.4,11.1,19.2,1932,161,0.157,5.2,332,253.3
2409,2000,146.3,2.63,1874,88,25,13.3,19.2,1784,148.7,0.27,5.4,210,198.4
2410,2000,181.2,0.91,1438,74.4,27.7,14.8,21.2,1188,99,0.343,10.8,411,214.9
2411,1500,167.7,1.4,2489,89.3,28.5,16.9,22.7,1481,123.4,0.249,12,122,150.6
2412,2000,66.8,2.62,2106,76.2,34.6,12.9,23.8,2411,200.9,0.173,11.1,375,186.8
2413,1000,107.2,3.95,1411,79.3,27.2,16.7,22,2010,167.5,0.1,10,408,98.9
2414,2000,166.2,2.16,1961,62.5,33.3,13.9,23.6,2426,202.2,0.166,12.7,471,184.9
2415,3000,112.6,1.02,1653,78.3,31.2,17.7,24.4,1684,140.3,0.375,6.7,395,217.5
2416,2000,195.9,0.44,2290,83,26.7,14.8,20.8,1031,85.9,0.282,14.3,310,204.9
2417,1000,160.4,3.32,1493,73.2,29,15.4,22.2,2188,182.3,0.157,12.1,179,108.3
2418,1000,52.3,2.12,1282,75.1,30.1,14.4,22.2,1142,95.2,0.359,12.8,259,120.6
2419,2000,182,0.63,1069,71.8,28.4,11.3,19.8,2414,201.2,0.369,5.5,138,163.4
2420,1500,65.1,3.37,2476,89.1,27.3,11.7,19.5,1460,121.7,0.232,10.7,277,147.3
2421,1000,71.1,1.04,1539,74.3,27.5,14,20.8,1988,165.7,0.325,10.1,159,123
2422,2500,160.2,2.55,1331,63.8,30.9,11,21,2269,189.1,0.263,13.5,161,207.7
2423,2000,179.7,1.53,1738,60.9,31.9,11.4,21.6,1687,140.6,0.141,12.9,178,208.3
2424,1500,130.5,4.66,1437,83.2,29.7,16.2,23,1645,137.1,0.107,8.3,380,143.1
2425,3000,93.4,1.14,1349,76.4,34.4,16.3,25.4,1279,106.6,0.251,6.4,218,228.5
2426,1500,102.7,2.1,1925,60.1,32.3,11.3,21.8,2092,174.3,0.153,7.7,372,153
2427,3000,101.4,4.8,1112,71.5,33.9,18.5,26.2,1509,125.8,0.1,14,417,247.3
2428,2000,99,1.59,1763,87.4,29.8,18.6,24.2,1941,161.8,0.262,8.8,482,151.1
2429,2500,86.4,3.22,1581,88.4,25.1,13.8,19.5,1370,114.2,0.117,14.3,134,220.6
2430,2000,141.3,1.58,1799,61.6,30.9,15,23,2109,175.8,0.247,8.9,107,202.4
2431,2500,185.1,0.55,1481,63.7,33.2,18,25.6,2045,170.4,0.288,14.9,270,222.8
2432,3000,96.1,3.14,1855,60.1,30.4,17.6,24,1013,84.4,0.257,7.9,161,224.8
2433,1500,78,4.58,1123,86.1,30.7,13.6,22.2,1153,96.1,0.15,9.2,194,136
2434,3000,175.8,2.26,1564,62.1,34.7,13.2,24,1123,93.6,0.265,8.2,486,234.8
2435,2000,161.3,3.13,1356,63.2,28.7,16.6,22.6,1052,87.7,0.124,14.9,499,176.7
2436,2000,189.6,3.04,1657,66.8,33,13.6,23.3,1090,90.8,0.249,9.3,494,174.2
2437,2000,74.8,2.08,1598,87.5,30.1,16.9,23.5,1488,124,0.274,13.1,464,180.1
2438,2000,71.6,3.07,1947,80.6,29.6,11.3,20.5,2149,179.1,0.189,6.6,492,184.8
2439,1500,131.2,1.3,1943,78.5,26.5,16.7,21.6,1799,149.9,0.207,6,173,179.6
2440,2000,142.2,1.89,1620,83.5,32.5,17.9,25.2,1159,96.6,0.27,14,112,181.1
2441,2000,122,2.21,1272,80.8,33.2,19,26.1,1078,89.8,0.218,9,236,190.8
2442,2500,139.8,4.32,1873,82.4,29.3,14.6,22,1156,96.3,0.1,12.2,328,181.1
2443,2500,77.1,1.74,2450,62.2,32.6,15.6,24.1,1560,130,0.261,9.2,284,195.2
2444,2000,121.9,3.18,1278,77.7,30.8,12.9,21.8,1456,121.3,0.165,13.1,496,174.9
2445,2000,148.7,1.07,1104,82.6,27.6,11.5,19.6,2065,172.1,0.288,11.1,181,188.5
2446,1500,114.9,1.26,1397,77,34.2,11.7,23,1938,161.5,0.22,12.2,183,138.9
2447,1500,151.9,3.24,1619,60.4,32,18.4,25.2,2315,192.9,0.1,12.6,427,154.1
2448,1000,117.7,3.81,1459,66.3,33.8,15.4,24.6,2422,201.8,0.223,6.7,268,117.3
2449,2000,100,2.31,2252,88.9,27.8,13.8,20.8,1002,83.5,0.172,8.5,281,189.1
2450,1500,95.5,1.68,1740,81.1,34.2,18.6,26.4,1342,111.8,0.203,8.2,371,147.3
2451,3000,111.6,4.55,1369,80.7,28.6,11.1,19.8,1117,93.1,0.1,11.2,444,226.8
2452,2000,53.5,0.68,2425,79.8,25.1,15.9,20.5,1460,121.7,0.352,5.5,500,155.1
2453,2000,150.3,3.6,1188,63.8,25.8,17.9,21.8,1896,158,0.125,6.6,494,197.5
2454,2000,176.8,3.45,1184,60.1,25.9,11.2,18.5,1400,116.7,0.154,5,441,196.3
2455,1500,103.2,3.45,1368,73.2,27.1,11.2,19.2,1285,107.1,0.122,8.9,163,150.2
2456,2000,56.9,4.68,1115,73.3,26.9,10.3,18.6,1580,131.7,0.165,9.4,158,152.2
2457,2000,198,3.64,2127,84.4,25.6,19.4,22.5,1026,85.5,0.1,6.8,391,197
2458,2000,89.6,1.51,1469,65.4,34,16.9,25.4,2460,205,0.276,6.7,325,182.4
2459,2000,69,1.77,2095,68.3,33.3,10.7,22,2451,204.2,0.349,9.3,427,190.6
