tea_type,hexanal,pentanoic acid,hexanoic acid,propanoic acid,2-pentylfuran,benzyl alchol,acetic acid,furfural,2-phenylethanol
dark tea,0.84,1.68,0.39,3.33,1.14,0.66,29.55,4.39,0.62
oolong tea,1.56,1.11,0.7,1.54,0.2,1.72,11.17,2.08,1.59
white tea,0.52,0.51,0.26,0.53,0.24,1.13,6.02,0.7,1.37
green tea,1.56,0.62,0.39,1.25,0.2,1.0,5.65,0.68,0.59
black tea,1.21,1.34,0.95,2.92,0.32,0.95,19.29,3.14,0.64
dark tea,0.8,2.06,1.12,2.97,1.03,0.96,23.79,3.69,0.61
oolong tea,1.41,1.13,0.64,1.02,0.53,2.02,10.78,1.98,1.59
white tea,0.23,0.94,0.25,0.93,0.25,0.97,6.09,0.8,1.3
green tea,0.77,0.54,0.34,1.23,0.29,0.73,3.29,0.54,0.57
black tea,1.3,1.53,0.45,2.61,0.42,0.86,16.91,3.29,1.08
dark tea,0.79,1.85,1.23,3.08,0.73,0.61,20.62,3.81,0.57
oolong tea,1.48,1.08,0.43,1.65,0.27,2.19,9.75,1.81,1.31
white tea,0.35,0.87,0.29,1.02,0.23,0.96,5.09,0.71,1.38
green tea,1.0,0.66,0.49,1.47,0.22,0.97,6.28,0.47,0.47
black tea,0.82,1.74,0.52,2.61,0.6,1.18,21.06,3.33,1.07
dark tea,0.63,1.83,1.01,3.56,1.01,0.81,27.96,3.41,0.76
oolong tea,1.88,1.28,0.77,1.09,0.35,1.82,12.76,1.74,1.75
white tea,0.54,0.84,0.27,0.68,0.16,1.37,6.47,0.84,1.08
green tea,0.79,0.42,0.59,0.93,0.26,1.03,2.75,0.57,0.84
black tea,1.15,2.17,0.56,3.15,0.53,1.29,21.1,2.98,0.89
dark tea,0.52,2.15,1.2,3.49,1.04,0.8,25.37,3.56,0.46
oolong tea,1.8,1.4,0.52,1.51,0.31,2.29,12.66,2.49,1.42
white tea,0.36,0.78,0.3,0.81,0.16,1.3,6.4,0.69,1.39
green tea,1.59,0.57,0.41,1.25,0.19,0.86,1.85,0.66,0.47
black tea,1.41,1.53,0.81,2.51,0.51,1.4,13.78,3.73,0.91
dark tea,0.6,1.73,1.44,2.9,0.65,0.89,25.85,3.53,0.58
oolong tea,1.24,1.34,0.68,1.63,0.44,2.44,11.5,1.7,1.69
white tea,0.61,0.62,0.22,0.92,0.2,0.98,6.9,1.26,1.18
green tea,1.07,0.36,0.43,1.34,0.29,0.85,3.41,0.41,0.83
black tea,1.31,1.29,1.13,2.97,0.72,0.92,16.59,3.19,0.94
dark tea,0.97,2.18,1.11,2.87,1.07,0.63,29.07,3.86,0.75
oolong tea,1.67,1.13,0.49,1.41,0.44,2.02,10.46,1.96,1.62
white tea,0.19,0.81,0.18,0.65,0.12,0.84,3.81,0.73,1.49
green tea,1.17,0.57,0.44,1.17,0.24,0.64,5.45,0.78,0.45
black tea,0.97,1.54,0.68,2.94,0.46,1.53,22.98,3.33,1.03
dark tea,0.89,1.86,1.01,3.28,1.0,0.77,21.06,3.6,0.54
oolong tea,1.48,1.5,0.38,1.63,0.55,2.57,10.79,2.12,1.71
white tea,0.42,0.74,0.28,0.45,0.23,1.17,5.22,1.21,1.03
green tea,1.2,0.8,0.32,1.05,0.24,1.0,4.21,0.39,0.62
black tea,1.04,1.58,0.92,2.91,0.33,1.34,20.63,3.77,0.93
dark tea,0.89,2.12,1.39,3.45,0.83,1.03,27.22,4.29,0.39
oolong tea,1.18,1.2,0.57,1.35,0.41,2.4,12.72,1.71,1.58
white tea,0.32,0.7,0.22,0.77,0.14,1.13,4.8,0.45,1.51
green tea,1.57,0.5,0.4,0.94,0.38,1.18,4.16,0.68,0.73
black tea,0.92,1.52,0.87,2.58,0.52,1.13,19.8,3.27,0.66
dark tea,0.66,1.68,1.32,2.46,1.05,0.92,24.24,2.7,0.5
oolong tea,1.48,0.97,0.49,1.88,0.47,1.77,8.7,1.92,1.56
white tea,0.45,0.68,0.29,1.19,0.24,1.14,5.27,0.79,1.36
green tea,1.14,0.56,0.41,1.06,0.15,0.91,3.94,0.61,0.62
black tea,1.36,1.42,1.15,2.09,0.6,1.23,18.01,3.41,1.07
dark tea,0.47,2.13,0.72,2.89,1.14,0.68,22.07,3.9,0.81
oolong tea,1.04,0.97,0.74,1.96,0.39,1.69,15.17,2.4,1.74
white tea,0.32,0.74,0.24,0.91,0.27,1.3,4.15,1.09,1.2
green tea,1.47,0.73,0.29,1.14,0.21,0.58,4.35,0.86,0.42
black tea,1.14,1.73,0.87,2.71,0.39,1.19,18.11,2.43,1.06
dark tea,0.87,2.01,1.19,3.65,0.89,0.86,24.26,4.66,0.59
oolong tea,1.55,0.93,0.59,1.29,0.34,1.8,9.63,2.53,1.87
white tea,0.59,0.6,0.03,0.62,0.17,0.99,7.05,0.78,1.34
green tea,1.45,0.84,0.25,1.37,0.34,0.68,5.01,0.59,0.67
black tea,1.01,1.46,1.21,2.75,0.65,1.01,18.05,3.66,0.61
dark tea,0.7,2.01,1.17,3.18,0.92,0.84,26.84,3.51,0.51
oolong tea,1.8,1.31,0.38,1.59,0.2,2.01,14.82,1.76,1.43
white tea,0.48,0.56,0.2,0.95,0.17,1.11,6.43,0.92,1.2
green tea,1.22,0.6,0.39,1.23,0.21,0.82,3.01,0.55,0.58
black tea,0.96,1.65,0.89,3.04,0.5,1.22,21.38,3.42,0.71
dark tea,0.77,2.09,1.15,2.47,0.88,1.03,24.1,3.64,0.6
oolong tea,1.58,1.36,0.39,1.68,0.46,1.96,12.09,2.26,1.77
white tea,0.29,0.85,0.25,0.86,0.2,1.12,6.99,0.84,0.95
green tea,1.2,0.57,0.52,1.26,0.19,1.28,4.26,0.71,0.68
black tea,1.24,1.77,1.06,3.15,0.66,1.09,18.57,3.37,1.01
dark tea,0.72,2.27,1.4,2.91,0.7,0.73,25.77,3.74,0.72
oolong tea,1.61,1.16,0.37,1.17,0.43,1.47,13.27,1.96,2.2
white tea,0.63,0.73,0.24,1.02,0.29,0.86,3.27,0.74,1.25
green tea,1.42,0.68,0.28,0.74,0.31,0.71,1.98,0.57,0.82
black tea,1.13,1.51,0.82,2.61,0.38,1.02,21.3,3.37,0.88
dark tea,0.63,1.95,0.77,3.32,1.1,0.57,23.54,4.16,0.71
oolong tea,1.39,1.03,0.3,1.53,0.6,2.07,11.46,2.08,1.6
white tea,0.32,0.85,0.27,0.85,0.15,1.38,6.33,0.75,1.33
green tea,1.18,0.45,0.32,0.84,0.29,0.53,2.77,0.29,0.69
black tea,1.12,1.53,0.67,2.31,0.61,1.05,20.79,2.92,0.88
dark tea,0.91,2.15,1.08,3.35,0.81,0.75,24.19,3.92,0.58
oolong tea,1.25,0.97,0.38,1.1,0.28,2.04,9.94,2.13,1.61
white tea,0.2,0.83,0.31,0.68,0.22,1.0,5.62,0.63,0.84
green tea,1.2,0.53,0.36,0.94,0.22,0.9,3.96,0.57,0.6
black tea,1.36,1.36,0.94,3.19,0.61,1.11,18.68,3.64,0.6
dark tea,0.63,1.9,1.37,3.39,0.68,0.71,23.46,3.65,0.67
oolong tea,1.16,1.43,0.65,1.77,0.35,1.96,8.99,1.87,1.7
white tea,0.53,0.61,0.22,0.82,0.13,1.25,4.6,0.82,1.07
green tea,1.1,0.55,0.38,1.08,0.2,0.91,5.65,0.57,0.85
black tea,0.91,1.63,0.66,2.2,0.46,1.36,22.38,3.34,0.58
dark tea,0.73,2.08,1.18,6.59,0.69,0.74,26.34,2.9,0.53
oolong tea,1.54,1.3,0.64,1.65,0.32,1.52,10.81,2.25,1.88
white tea,0.47,0.8,0.28,0.75,0.19,1.44,4.32,1.13,1.09
green tea,1.63,0.37,0.46,1.02,0.14,0.89,5.01,0.44,0.48
black tea,1.13,1.58,0.95,3.11,0.54,1.47,20.56,3.12,0.57
dark tea,0.72,1.92,1.32,3.42,0.64,0.77,26.68,4.76,0.66
oolong tea,1.69,1.16,0.6,1.81,0.27,1.91,10.15,2.09,1.85
white tea,0.34,0.45,0.22,1.01,0.23,1.22,5.15,0.63,1.24
green tea,1.09,0.82,0.46,1.05,0.2,0.83,3.76,0.69,0.73
black tea,1.02,1.98,0.86,3.04,0.47,1.21,20.78,2.54,1.2
dark tea,0.91,1.9,0.96,3.38,0.87,0.79,25.48,4.25,0.73
oolong tea,1.64,0.97,0.72,1.91,0.66,1.72,11.93,1.48,1.71
white tea,0.35,0.99,0.19,0.55,0.18,0.8,6.44,0.49,1.15
green tea,0.78,0.51,0.56,1.21,0.19,0.84,4.02,0.61,0.49
black tea,1.25,1.08,0.74,2.57,0.63,1.15,16.49,2.88,0.88
dark tea,0.74,1.86,1.07,3.51,0.76,0.74,30.42,3.29,0.32
oolong tea,1.7,1.03,0.51,1.3,0.37,2.4,12.9,2.22,1.32
white tea,0.28,0.45,0.19,1.02,0.23,1.11,5.47,0.73,1.19
green tea,1.49,0.35,0.43,1.31,0.22,0.97,6.6,0.54,0.76
black tea,1.02,1.64,0.93,2.82,0.42,1.19,23.66,3.42,1.02
dark tea,0.72,2.19,1.2,2.89,0.91,0.63,23.42,4.09,0.59
oolong tea,1.2,1.33,0.62,1.32,0.25,1.96,10.72,2.03,1.53
white tea,0.2,0.7,0.23,0.96,0.17,1.44,3.11,1.08,1.11
green tea,1.51,0.56,0.51,1.08,0.17,1.1,3.89,0.58,0.89
black tea,0.97,1.72,0.75,2.7,0.56,0.89,18.05,3.76,1.01
dark tea,0.74,2.06,1.1,3.76,0.81,0.78,27.87,3.61,0.74
oolong tea,1.12,1.44,0.5,1.44,0.21,1.89,9.68,1.85,1.57
white tea,0.5,0.78,0.27,0.66,0.16,1.46,4.58,1.14,1.11
green tea,1.3,0.68,0.53,1.13,0.22,0.84,4.34,0.66,0.7
black tea,1.26,1.93,0.92,2.87,0.36,0.72,20.97,3.21,0.76
dark tea,0.78,1.98,1.35,3.28,0.72,0.87,24.46,4.26,0.49
oolong tea,1.34,1.16,0.55,1.62,0.37,1.54,10.74,2.2,1.54
white tea,0.38,0.87,0.2,0.58,0.19,1.07,4.29,0.82,1.24
green tea,1.3,0.59,0.58,1.09,0.27,0.76,3.15,0.48,0.63
black tea,1.21,2.07,0.72,2.59,0.54,1.22,20.66,3.73,0.45
dark tea,0.45,1.88,1.34,2.66,0.45,0.82,25.61,3.45,0.43
oolong tea,1.26,1.17,0.47,1.62,0.18,1.79,9.53,1.94,1.49
white tea,0.48,0.52,0.25,0.95,0.29,1.07,5.91,0.53,0.73
green tea,1.51,0.55,0.52,0.91,0.29,1.18,4.42,0.58,0.7
black tea,0.88,1.87,0.74,2.94,0.35,0.94,23.59,3.12,1.1
dark tea,0.74,1.54,1.31,3.03,0.97,0.75,21.14,4.08,0.82
oolong tea,1.62,1.14,0.68,1.55,0.42,1.73,11.91,2.26,1.43
white tea,0.54,0.74,0.18,1.02,0.19,1.28,5.14,0.84,1.24
green tea,1.37,0.3,0.29,1.31,0.24,0.76,2.64,0.42,0.4
black tea,1.13,1.48,0.68,2.72,0.6,1.52,16.22,3.68,1.02
dark tea,0.65,2.05,1.07,3.32,1.11,0.83,26.27,3.78,0.36
oolong tea,1.45,1.36,0.36,1.24,0.41,1.75,10.11,1.89,1.33
white tea,0.3,0.84,0.15,0.57,0.17,1.28,5.25,0.77,1.16
green tea,0.86,0.61,0.44,1.08,0.33,0.65,5.13,0.57,0.65
black tea,1.15,1.58,1.06,2.35,0.45,1.33,18.51,3.59,1.15
dark tea,0.7,2.17,0.95,3.53,0.88,0.81,23.39,3.17,0.61
oolong tea,0.98,1.09,0.67,1.55,0.59,2.26,10.36,2.01,1.59
white tea,0.24,0.63,0.21,0.49,0.2,1.11,3.41,0.92,1.28
green tea,1.36,0.51,0.46,1.27,0.27,0.71,4.28,0.7,0.61
black tea,1.52,1.49,0.86,2.5,0.58,0.85,18.63,2.84,0.87
dark tea,0.87,2.16,0.73,4.02,0.9,0.65,25.39,4.09,0.47
oolong tea,1.55,1.04,0.5,1.33,0.26,2.04,12.52,2.13,1.76
white tea,0.43,0.68,0.31,0.61,0.15,0.98,6.85,1.01,1.24
green tea,1.57,0.44,0.43,1.13,0.31,0.83,3.62,0.62,0.83
black tea,1.03,1.59,0.66,1.81,0.58,1.26,20.66,2.52,0.79
dark tea,0.47,2.34,0.96,3.72,1.02,0.64,22.17,4.18,0.44
oolong tea,1.53,1.07,0.33,0.94,0.42,1.86,10.53,2.17,1.83
white tea,0.37,0.71,0.29,0.61,0.21,1.25,6.35,0.51,1.02
green tea,1.08,0.56,0.45,1.41,0.21,0.76,5.15,0.59,0.89
black tea,1.2,1.37,0.62,2.17,0.63,1.36,24.62,3.57,1.05
dark tea,0.68,1.71,1.3,3.41,0.87,0.8,25.81,4.64,0.71
oolong tea,1.64,1.3,0.61,1.38,0.48,1.65,13.34,1.7,1.66
white tea,0.32,0.82,0.25,0.57,0.22,1.05,6.6,0.85,1.22
green tea,1.06,0.48,0.35,1.3,0.38,0.71,5.08,0.28,0.52
black tea,0.98,1.33,0.57,2.9,0.52,1.22,21.73,3.35,0.97
dark tea,0.74,1.7,1.34,3.03,0.69,0.73,22.72,3.79,0.59
oolong tea,1.59,0.99,0.49,1.77,0.45,2.52,13.57,2.29,1.32
white tea,0.48,0.74,0.21,0.88,0.25,1.24,4.4,0.98,1.04
green tea,1.35,0.51,0.38,1.28,0.17,1.19,2.18,0.48,0.76
black tea,1.25,1.58,0.84,2.9,0.52,1.39,22.1,3.58,0.68
dark tea,0.74,1.92,0.97,3.39,0.76,0.83,22.32,4.86,0.44
oolong tea,1.55,1.29,0.48,1.71,0.28,2.36,11.52,1.85,1.54
white tea,0.48,0.68,0.19,0.81,0.14,1.47,4.79,1.0,1.19
green tea,1.05,0.55,0.48,1.12,0.34,1.03,4.92,0.49,0.54
black tea,1.04,1.64,0.95,1.94,0.55,1.18,19.31,3.73,0.92
dark tea,0.91,1.95,1.31,3.86,1.08,0.61,24.37,3.83,0.61
oolong tea,1.67,1.0,0.56,1.0,0.54,1.87,11.6,1.92,1.83
white tea,0.18,0.75,0.24,0.77,0.29,0.99,6.46,0.91,1.37
green tea,1.13,0.46,0.51,1.22,0.13,0.76,4.39,0.65,0.6
black tea,0.72,1.7,0.64,1.99,0.27,1.29,20.32,3.17,1.09
dark tea,0.83,2.4,0.91,3.24,0.57,0.72,24.38,4.31,0.56
oolong tea,1.66,1.27,0.82,1.42,0.31,2.06,10.1,2.37,1.54
white tea,0.34,0.69,0.3,0.82,0.17,1.44,4.43,0.86,1.26
green tea,0.89,0.61,0.29,1.29,0.18,0.97,5.11,0.66,0.74
black tea,1.11,1.48,1.11,2.49,0.42,1.27,18.01,2.89,0.6
dark tea,0.69,1.98,1.19,3.61,0.94,0.73,24.5,4.26,0.71
oolong tea,1.53,1.07,0.43,1.14,0.47,2.14,12.51,1.97,1.88
white tea,0.35,0.87,0.25,0.74,0.23,1.22,5.95,0.86,1.14
green tea,1.9,0.7,0.47,1.17,0.33,0.94,4.03,0.51,0.69
black tea,0.72,1.64,0.76,3.35,0.55,0.94,19.88,2.86,0.93
dark tea,0.79,2.24,1.01,3.26,0.61,0.84,26.3,4.25,0.55
oolong tea,1.6,1.43,0.51,1.53,0.29,1.78,11.67,2.28,1.55
white tea,0.38,0.7,0.21,0.9,0.13,1.37,4.67,0.98,0.93
green tea,1.47,0.63,0.44,0.98,0.27,0.64,3.75,0.68,0.82
black tea,1.15,1.41,0.96,2.76,0.27,1.29,19.94,3.7,0.66
dark tea,0.45,2.07,1.2,2.62,0.68,1.09,24.24,4.37,0.47
oolong tea,0.98,1.12,0.52,1.4,0.39,2.07,11.24,1.68,1.7
white tea,0.21,0.49,0.31,0.94,0.2,0.91,4.62,0.8,0.87
green tea,1.12,0.63,0.54,1.08,0.31,0.52,4.66,0.45,0.75
black tea,1.11,1.86,0.7,2.99,0.52,1.12,19.54,2.93,0.85
dark tea,0.74,2.06,1.16,3.55,1.01,0.62,27.17,3.41,0.62
oolong tea,1.65,0.82,0.56,1.38,0.32,2.34,10.36,1.8,1.62
white tea,0.47,0.73,0.34,0.94,0.09,1.06,4.8,0.93,0.72
green tea,1.94,0.62,0.41,1.36,0.43,1.0,4.95,0.57,0.68
black tea,1.07,1.43,0.73,2.24,0.54,0.86,20.48,3.24,0.88
dark tea,0.68,2.75,1.39,2.78,0.89,0.67,22.46,3.33,0.6
oolong tea,1.33,1.32,0.67,1.84,0.31,2.12,12.61,1.88,1.45
white tea,0.56,0.78,0.3,0.71,0.14,1.05,5.34,0.66,1.15
green tea,0.88,0.41,0.47,1.26,0.22,0.67,2.97,0.5,0.8
black tea,1.31,1.5,0.65,2.85,0.45,1.06,23.31,3.56,0.88
dark tea,0.59,2.05,1.34,3.11,1.09,0.91,29.16,4.15,0.62
oolong tea,1.85,1.23,0.49,1.39,0.42,1.68,11.25,2.27,1.16
white tea,0.55,0.89,0.22,0.95,0.2,1.37,6.73,0.6,1.25
green tea,1.25,0.56,0.33,1.46,0.33,0.72,2.67,0.5,0.77
black tea,1.19,1.85,0.99,3.11,0.59,0.91,19.51,3.65,0.84
dark tea,0.81,1.92,0.97,3.2,0.9,0.67,24.41,3.53,1.71
oolong tea,1.43,1.4,0.74,1.48,0.3,1.48,8.92,1.66,1.88
white tea,0.41,0.8,0.09,0.64,0.24,1.2,5.32,0.95,1.44
green tea,1.24,0.56,0.42,1.57,0.09,0.97,3.89,0.62,0.6
black tea,1.14,1.74,1.32,3.05,0.44,1.08,18.87,2.58,0.79
dark tea,0.84,1.68,1.33,3.43,0.72,0.73,29.0,4.37,0.55
oolong tea,1.44,1.16,0.49,0.97,0.6,2.04,12.2,1.99,1.45
white tea,0.38,0.55,0.42,0.63,0.15,1.07,7.11,0.85,0.93
green tea,1.61,0.64,0.45,1.28,0.43,1.23,3.31,0.75,0.76
black tea,1.24,1.26,0.82,2.45,0.65,1.34,14.81,3.24,1.05
dark tea,0.73,2.18,1.21,3.38,0.8,0.6,22.2,4.35,0.55
oolong tea,1.47,1.08,0.51,1.76,0.37,1.66,12.8,1.95,1.61
white tea,0.56,0.75,0.27,0.64,0.19,1.26,3.56,0.89,1.17
green tea,1.31,0.68,0.43,1.41,0.18,0.87,4.08,0.42,0.84
black tea,1.56,1.6,0.94,2.78,0.46,0.83,18.24,2.73,1.15
dark tea,0.74,1.91,1.31,2.83,0.72,0.76,27.57,4.25,0.58
oolong tea,1.52,1.22,0.58,1.24,0.4,1.73,11.64,1.88,2.11
white tea,0.4,0.57,0.24,0.94,0.28,1.05,3.52,0.99,0.91
green tea,1.19,0.52,0.39,1.27,0.2,0.8,3.99,0.57,0.71
black tea,1.23,1.77,0.92,2.92,0.35,1.16,21.2,3.52,0.73
dark tea,0.67,1.86,1.24,3.64,0.78,0.86,25.31,3.94,0.52
oolong tea,1.69,1.21,0.83,1.29,0.45,1.87,9.98,2.0,1.63
white tea,0.66,0.73,0.17,0.9,0.1,1.13,5.52,0.99,1.32
green tea,1.17,0.53,0.32,0.95,0.27,0.63,3.59,0.43,0.78
black tea,1.47,1.34,0.53,2.7,0.55,1.19,18.88,3.17,0.91
dark tea,0.88,1.51,1.09,3.33,0.69,0.97,23.41,3.98,0.62
oolong tea,1.35,0.83,0.5,1.76,0.37,1.79,13.12,1.92,1.5
white tea,0.41,0.85,0.43,0.99,0.26,1.06,4.22,0.86,1.17
green tea,1.03,0.53,0.44,1.21,0.29,0.9,3.49,0.49,0.52
black tea,1.46,1.6,0.81,2.4,0.88,0.96,18.93,3.41,0.96
dark tea,0.87,2.45,1.24,2.85,0.81,0.79,30.17,3.3,0.7
oolong tea,1.54,1.3,0.54,1.29,0.48,2.16,13.2,2.0,1.48
white tea,0.24,0.85,0.28,0.68,0.17,1.07,3.65,0.71,0.95
green tea,1.2,0.46,0.24,1.5,0.34,0.71,4.27,0.6,0.88
black tea,1.01,1.82,0.75,2.25,0.64,1.38,26.47,2.8,0.97
dark tea,0.7,2.2,0.89,2.78,0.71,0.76,23.4,4.33,0.68
oolong tea,1.65,1.43,0.6,1.2,0.54,1.85,13.09,2.39,1.69
white tea,0.25,0.64,0.35,0.82,0.2,1.28,6.37,0.9,1.11
green tea,1.22,0.66,0.46,1.1,0.33,0.83,3.15,0.46,0.55
black tea,1.1,1.85,0.71,2.82,0.47,1.1,16.22,3.17,0.82
dark tea,0.82,2.06,0.94,3.66,0.89,0.77,24.98,3.74,0.58
oolong tea,1.62,0.84,0.48,1.44,0.43,2.3,10.15,1.88,1.5
white tea,0.32,0.71,0.31,0.67,0.22,0.85,4.8,0.79,1.44
green tea,1.23,0.27,0.2,1.16,0.3,0.92,4.17,0.7,0.62
black tea,1.31,1.27,0.69,2.07,0.52,1.14,20.29,3.27,0.69
dark tea,0.73,1.63,1.39,3.14,0.76,0.95,21.89,3.44,0.41
oolong tea,1.48,1.23,0.64,2.14,0.18,2.15,10.53,1.85,1.48
white tea,0.31,0.96,0.31,0.85,0.27,0.89,3.84,0.47,1.03
green tea,1.34,0.56,0.41,0.9,0.31,0.89,4.73,0.31,0.75
black tea,0.94,1.52,0.94,2.78,0.44,1.15,16.17,1.15,0.81
dark tea,0.89,1.87,1.06,2.96,1.0,0.66,26.61,3.81,0.3
oolong tea,1.36,0.94,0.55,1.2,0.49,1.98,11.19,2.16,1.79
white tea,0.4,0.65,0.12,0.73,0.17,1.17,5.07,0.97,1.04
green tea,1.29,0.7,0.43,1.14,0.2,0.74,3.15,0.48,0.81
black tea,1.11,1.33,1.16,2.87,0.37,1.07,20.28,3.89,0.66
dark tea,0.87,2.35,1.04,3.15,0.67,0.72,24.91,4.33,0.69
oolong tea,1.31,0.81,0.55,1.57,0.42,1.92,11.72,2.38,1.68
white tea,0.36,0.69,0.24,1.14,0.19,1.15,4.9,1.04,1.49
green tea,1.41,0.56,0.4,0.73,0.31,0.87,4.43,0.46,0.64
black tea,1.08,1.8,0.78,3.53,0.6,0.93,19.68,3.01,0.47
dark tea,0.95,2.18,1.24,3.31,0.61,0.69,27.1,3.47,0.27
oolong tea,1.44,1.13,0.57,1.68,0.46,2.06,13.59,1.62,1.7
white tea,0.46,0.6,0.14,0.72,0.17,1.28,4.73,0.7,1.04
green tea,1.58,0.55,0.38,1.13,0.35,0.72,5.32,0.58,0.68
black tea,1.59,1.39,0.79,2.29,0.67,1.45,24.17,3.71,0.82
dark tea,0.7,1.58,1.51,3.43,0.76,0.92,22.57,4.2,0.53
oolong tea,1.66,1.14,0.37,1.52,0.5,1.99,12.86,1.74,1.59
white tea,0.34,0.84,0.25,0.97,0.25,1.27,5.84,0.68,1.15
green tea,1.17,0.51,0.36,0.98,0.1,0.73,4.19,0.38,0.7
black tea,1.48,1.8,1.14,2.9,0.7,1.02,18.39,2.25,1.06
dark tea,0.94,1.86,1.11,2.97,0.92,0.89,20.64,4.2,0.52
oolong tea,1.53,1.23,0.53,1.47,0.38,2.24,12.23,2.06,1.35
white tea,0.36,0.86,0.25,0.97,0.29,1.33,5.62,0.76,0.72
green tea,1.26,0.51,0.44,1.12,0.23,0.54,3.06,0.61,0.96
black tea,1.13,1.67,1.02,2.45,0.6,1.02,22.16,3.31,0.9
dark tea,0.65,2.18,1.51,2.87,0.79,0.78,26.97,3.72,0.27
oolong tea,1.84,1.28,0.33,1.35,0.56,2.36,13.14,1.96,1.62
white tea,0.39,0.89,0.18,0.71,0.25,1.14,7.22,0.73,1.14
green tea,1.07,0.55,0.25,1.06,0.14,0.97,4.72,0.33,0.9
black tea,1.59,1.61,0.74,3.81,0.39,1.15,20.45,3.75,0.91
dark tea,0.69,1.76,1.09,2.87,0.86,0.68,21.26,4.63,0.49
oolong tea,1.18,1.12,0.56,1.06,0.43,1.74,14.49,2.13,1.52
white tea,0.33,0.74,0.3,0.85,0.19,1.16,4.75,0.79,0.78
green tea,1.54,0.59,0.32,1.48,0.26,0.67,4.86,0.6,0.76
black tea,1.08,1.69,0.8,2.96,0.31,1.07,24.31,2.96,0.74
dark tea,0.69,1.7,0.76,3.16,0.87,0.74,24.64,4.02,0.68
oolong tea,1.45,1.05,0.51,1.64,0.54,1.84,11.67,2.08,1.4
white tea,0.4,0.57,0.12,0.91,0.18,1.19,5.48,0.68,1.14
green tea,0.99,0.72,0.26,1.12,0.17,0.95,3.67,0.49,0.83
black tea,1.16,1.7,0.68,2.22,0.56,1.09,21.57,3.22,0.89
dark tea,0.55,2.47,1.12,3.51,0.7,0.79,21.74,4.23,0.51
oolong tea,1.51,1.27,0.4,1.33,0.45,2.52,11.26,2.15,1.58
white tea,0.59,0.53,0.26,0.57,0.09,1.2,5.67,0.8,1.13
green tea,1.98,0.52,0.45,1.04,0.27,0.81,3.59,0.78,0.88
black tea,1.17,1.14,0.79,3.76,0.52,1.34,23.6,3.33,0.7
dark tea,0.45,2.17,1.01,3.32,0.63,0.72,25.08,4.13,0.41
oolong tea,1.8,1.05,0.34,1.47,0.4,2.04,13.88,1.94,1.58
white tea,0.29,0.85,0.26,0.78,0.1,1.4,3.97,0.75,1.21
green tea,1.0,0.36,0.19,1.28,0.21,1.32,3.01,0.43,0.62
black tea,1.19,1.51,0.96,2.38,0.38,0.84,14.44,3.06,0.8
dark tea,0.67,2.31,1.36,3.12,0.54,0.68,23.5,3.67,0.46
oolong tea,1.34,1.08,0.47,1.55,0.44,1.77,13.72,1.75,1.28
white tea,0.44,0.65,0.27,0.45,0.27,1.27,3.62,0.59,1.44
green tea,1.12,0.45,0.18,1.09,0.23,0.98,2.6,0.36,0.77
black tea,1.33,1.29,1.04,2.76,0.69,1.14,13.69,3.19,1.04
dark tea,0.64,1.9,1.12,2.25,1.14,0.64,26.26,3.96,0.71
oolong tea,1.6,1.11,0.44,1.7,0.21,2.16,9.58,2.31,1.63
white tea,0.46,0.76,0.12,0.7,0.23,1.18,6.98,0.92,0.98
green tea,1.1,0.56,0.18,1.44,0.28,1.06,2.42,0.71,1.03
black tea,0.92,1.75,0.85,2.17,0.61,1.3,18.5,3.69,0.56
dark tea,0.56,2.03,1.15,2.98,0.99,0.82,27.15,3.94,0.63
oolong tea,1.39,1.51,0.45,2.03,0.4,1.66,13.89,2.03,1.77
white tea,0.52,0.79,0.21,1.02,0.2,1.27,2.81,0.93,1.04
green tea,1.71,0.63,0.42,1.24,0.18,1.13,5.99,0.6,0.94
black tea,1.05,1.44,0.86,2.91,0.5,1.24,20.77,2.88,0.94
dark tea,0.86,2.04,1.35,2.79,0.93,0.6,22.21,3.68,0.43
oolong tea,1.36,1.11,0.65,1.42,0.24,2.29,10.04,1.99,1.69
white tea,0.42,0.89,0.29,0.7,0.31,1.18,5.32,1.02,1.19
green tea,1.4,0.86,0.37,1.09,0.26,1.04,2.49,0.3,0.61
black tea,0.86,1.52,0.94,2.42,0.37,1.16,22.16,2.61,0.99
dark tea,0.85,2.24,1.36,4.08,0.79,0.76,23.96,4.0,0.74
oolong tea,1.16,1.0,0.72,1.76,0.36,2.21,12.1,2.38,1.61
white tea,0.5,1.08,0.29,0.86,0.24,1.09,8.48,0.88,1.1
green tea,1.09,0.69,0.49,1.06,0.29,0.59,4.18,0.61,0.96
black tea,1.02,1.34,0.69,2.25,0.72,1.42,20.8,3.71,0.87
dark tea,0.74,1.92,1.1,2.67,0.9,0.74,26.86,4.05,0.53
oolong tea,1.28,1.16,0.64,1.21,0.41,2.06,10.24,1.85,1.65
white tea,0.29,0.79,0.18,1.04,0.32,1.0,6.17,0.72,1.33
green tea,4.55,0.61,0.31,1.11,0.17,0.99,3.16,0.62,0.65
black tea,1.13,1.63,0.72,2.83,0.74,1.01,22.93,3.81,0.71
dark tea,0.57,2.08,1.05,3.95,0.86,0.65,22.13,4.54,0.48
oolong tea,1.51,1.32,0.49,1.49,0.4,2.17,12.53,1.94,1.61
white tea,0.36,0.57,0.27,1.18,0.16,1.01,4.41,0.98,1.23
